vendor_name,vendor_category,payment_type,payment_amount,payment_date,cheque_number,bank
ACB Enterprises(R),FMCG,Cheque Issued,25209.00,21-05-2025,54890,AXIS
BOMBAY MARKETING,FMCG,Cheque Issued,40034.00,21-05-2025,54885,AXIS
Everything Supermarket,FMCG,Cheque Issued,25320.00,21-05-2025,55596,AXIS
Kallar Agencies,Homeware,Cheque Issued,30003.00,21-05-2025,55516,AXIS
MAAEDA,FMCG,Cheque Issued,45657.00,21-05-2025,55551,AXIS
P K  TRADING COPORATION,FMCG,Cheque Issued,35503.00,21-05-2025,56191,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,35903.00,21-05-2025,56139,AXIS
Sreebala Agencies(R),Homeware,Cheque Pending,47183.86,21-05-2025,,
White Line Agencies ( Bajaj),Homeware,Cheque Issued,37452.00,21-05-2025,54894,AXIS
Ansar Oil Industries,FMCG,Cheque Issued,37602.00,22-05-2025,55578,AXIS
GIRI TRADERS,FMCG,Cheque Issued,23600.00,22-05-2025,56184,AXIS
"Kurikkal Appliances Distributions (Anuraj), Grn Chf",Homeware,Bank Transfer,3842.00,22-05-2025,,
MAAEDA,FMCG,Cheque Issued,4650.00,22-05-2025,55550,AXIS
MRS SALES CORPORATION,Homeware,Cheque Issued,30784.00,22-05-2025,55554,AXIS
Ojes Enterprises,Homeware,Cheque Issued,33102.00,22-05-2025,55558,AXIS
P K  TRADING COPORATION,FMCG,Cheque Issued,35503.00,22-05-2025,56189,AXIS
PARISONS ROLLER  FLOUR MILLS PVT,FMCG,Cheque Issued,70390.00,22-05-2025,55588,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,35903.00,22-05-2025,56140,AXIS
Sreebala Agencies(R),Homeware,Cheque Pending,47183.86,22-05-2025,,
Ansar Oil Industries,FMCG,Cheque Issued,37601.00,23-05-2025,55576,AXIS
GOPI&CO,FMCG,Cheque Issued,245000.00,23-05-2025,55508,AXIS
Kallar Agencies,Homeware,Cheque Issued,30003.00,23-05-2025,55517,AXIS
MAAEDA,FMCG,Cheque Issued,42035.00,23-05-2025,55549,AXIS
MEDHA MARKETING,Homeware,Cheque Pending,38940.00,23-05-2025,,
Ojes Enterprises,Homeware,Cheque Issued,33102.00,23-05-2025,55557,AXIS
Sreebala Agencies(R),Homeware,Cheque Pending,47183.86,23-05-2025,,
XAVIER TRADERS,FMCG,Cheque Issued,20414.00,23-05-2025,54827,AXIS
ACB Enterprises(R),FMCG,Cheque Issued,24951.00,26-05-2025,54893,AXIS
COCOPARK,FMCG,Cheque Issued,42087.00,26-05-2025,56165,AXIS
Kurikkal Agencies (Ajmal)/ Ashraf   (R),Homeware,Cheque Issued,38785.00,26-05-2025,55528,AXIS
MAAEDA,FMCG,Cheque Issued,22560.00,26-05-2025,55548,AXIS
Nazuk Trading Co,FMCG,Cheque Issued,28633.00,26-05-2025,56156,AXIS
